bucket,sector,code,static_name,official_name,evidence,live_predictions
R1_弱命中有同名,纳斯达克,513100,"纳指ETF国泰","纳指ETF国泰","只共用一个汉字，名册里有含整词的同名标的：159632:纳斯达克ETF华安",33
R1_弱命中有同名,科创板,588000,"科创50ETF华夏","科创50ETF华夏","只共用一个汉字，名册里有含整词的同名标的：506000:南方科创板3年定开混合",1
R1_弱命中有同名,双创,159781,"科创创业ETF易方达","科创创业ETF易方达","只共用一个汉字，名册里有含整词的同名标的：159782:双创50ETF银华",6
R1_弱命中有同名,建材,159619,"基建ETF国泰","基建ETF国泰","只共用一个汉字，名册里有含整词的同名标的：159745:建材ETF国泰",0
R1_弱命中有同名,家居,159996,"家电ETF国泰","家电ETF国泰","只共用一个汉字，名册里有含整词的同名标的：515730:家居家电ETF永赢",0
E_已登记代理,铜,160221,"国泰国证有色金属行业指数(LOF)A","国泰国证有色金属行业指数(LOF)A","全名册 27905 只里没有一只名字含「铜」（0 只），agent 也只能从这份名册里挑 ⇒ 借 160221 国泰国证有色金属行业指数（铜是有色金属的子板块）比「查无基金」更实用",5
E_已登记代理,小金属,516780,"稀土ETF华泰柏瑞","稀土ETF华泰柏瑞","名册里没有含「小金属」的基金（0 只）；516780 稀土ETF 是有色里最贴小金属口径的场内标的",3
E_已登记代理,快递,516910,"物流ETF富国","物流ETF富国","名册里没有含「快递」的基金（0 只）；516910 物流ETF 跟踪中证现代物流指数，快递主体在里面",0
E_已登记代理,港股,513180,"恒生科技ETF华夏","恒生科技ETF华夏","SECTOR_ALIASES 把 港/港仔/恒仔/港股 一律归一到恒生科技，静态表跟着它走；名册里带「港股」的宽基是 513990 港股通ETF，改挂哪个属老板的口径决定",7
E_已登记代理,港股互联网,513180,"恒生科技ETF华夏","恒生科技ETF华夏","恒生科技指数覆盖港股互联网平台主体，名册里没有含该板块词的基金",1
E_已登记代理,日股,513520,"日经ETF华夏","日经ETF华夏","名册里带「日」的场内只有 513520 日经ETF华夏（日本/日经/日股 三个键共用它）；体检按字面判它「是日经板块的标的」，属同义而非错配",6
E_已登记代理,美股,513100,"纳指ETF国泰","纳指ETF国泰","名册里没有名字含「美股」的基金；纳指ETF是美股宽基里规模与历史都不错的代理",10
E_已登记代理,全球,513100,"纳指ETF国泰","纳指ETF国泰","同上：全球视角先给美国经济，若要更全面应换成含发达+新兴的宽基（待老板定）",0
E_已登记代理,大盘,510050,"上证50ETF华夏","上证50ETF华夏","名册里带「大盘」的场内只有 超大盘/大盘成长/大盘价值（都是细分风格），博主说「大盘」通常指沪深大盘股 ⇒ 上证50ETF 比硬套一个风格指数更贴近",74
E_已登记代理,元宇宙,159786,"VRETF银华","VRETF银华","名册里没有含「元宇宙」的基金（0 只）；VRETF银华 跟踪 VR/产业主题，是最接近的代理",0
