id,板块,代码,映射里的名字,基金域真名,相似度,结论,相关性存疑,可确定性纠正,原本已审查,老板锁定,理由,建议标的
52,中报业绩,016370,信澳业绩驱动混合A,信澳业绩驱动混合A,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
53,中报预增,510880,华泰柏瑞上证红利ETF,红利ETF华泰柏瑞,0.8182,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.818）,
54,制冷剂,159870,化工ETF鹏华,化工ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
55,第一持仓板块,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
56,全市场,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
57,华为概念,159732,消费电子ETF华夏,消费电子ETF华夏,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
58,韩国股市,513310,中韩半导体ETF（QDII）,中韩半导体ETF华泰柏瑞,0.5333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.533）,
59,娜娜,513100,国泰纳斯达克 100ETF,纳指ETF国泰,0.5,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.500）,
60,应用,516160,新能源ETF南方,新能源ETF南方,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
61,中字头,512950,华夏中证央企结构调整 ETF,央企改革ETF华夏,0.4667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.467）,
62,拓维信息,159998,计算机ETF天弘,计算机ETF天弘,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
63,天娱数科,515070,人工智能ETF华夏,人工智能ETF华夏,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
64,零售,159936,广发中证全指可选消费 ETF,可选消费ETF广发,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
65,太空人,159206,永赢国证商用卫星通信产业 ETF,卫星ETF永赢,0.4667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.467）,
66,LED,159732,华夏国证消费电子主题 ETF,消费电子ETF华夏,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
67,资源,510410,资源ETF博时,资源ETF博时,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
68,韩国综指,513310,中韩半导体ETF（QDII）,中韩半导体ETF华泰柏瑞,0.5333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.533）,
69,Ai应用,515230,国泰中证全指软件ETF,软件ETF国泰,0.6364,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
70,韩股,513310,中韩半导体ETF（QDII）,中韩半导体ETF华泰柏瑞,0.5333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.533）,
71,A股市场,510300,华泰柏瑞沪深 300ETF,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
72,纯债,000801,中金纯债A,中金纯债A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
73,超节点,515880,通信ETF,通信ETF国泰,0.7143,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.714）,
74,台股,040021,华安大中华升级股票（QDII）,华安大中华升级股票(QDII)A,0.9167,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.917）,
75,长鑫存储,588200,科创芯片ETF,科创芯片ETF嘉实,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
76,设备,159516,半导体设备ETF,半导体设备ETF国泰,0.8,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.800）,
77,PCB/CPO,159997,电子ETF,电子ETF天弘,0.7143,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.714）,
78,印度股市,006105,宏利印度股票(QDII)A,宏利印度股票(QDII)A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
79,美日权益市场,513100,纳斯达克ETF,纳指ETF国泰,0.4,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.400）,
80,低估赛道,512690,酒ETF鹏华,酒ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
81,高位品种,159995,华夏国证半导体芯片ETF,芯片ETF华夏,0.5833,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.583）,
82,高端制造,516320,华夏中证装备产业ETF（高端装备ETF）,高端装备ETF华夏,0.6923,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.692）,
83,新质生产力,588000,华夏上证科创板50成份ETF（科创50ETF）,科创50ETF华夏,0.6429,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.643）,
85,氢能源,516160,南方中证新能源ETF,新能源ETF南方,0.8,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.800）,
86,情绪连板,510210,上证指数ETF富国,上证指数ETF富国,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
87,传统行业,510050,上证 50ETF 华夏,上证50ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
88,有色金属,512400,有色 ETF 南方,有色金属ETF南方,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
89,煤炭,515220,煤炭 ETF 国泰,煤炭ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
90,化工,516570,化工行业 ETF 易方达,石化ETF易方达,0.6364,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.636）,
91,钢铁,515210,钢铁 ETF 国泰,钢铁ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
92,红利,515180,红利 ETF 易方达,红利ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
93,宽基指数,510300,沪深 300ETF 华泰柏瑞,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
94,农牧饲渔,159275,农牧渔ETF华宝,农牧渔ETF华宝,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
95,宽基,510300,沪深 300ETF 华泰柏瑞,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
96,防守,563020,红利低波 ETF 易方达,红利低波ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
97,国内云租赁,159099,云计算 ETF 华宝,华宝中证云计算50ETF,0.6667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.667）,
98,美十年期国债,511260,十年国债ETF国泰,十年国债ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
99,资源股,512400,有色金属ETF南方,有色金属ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
100,生物疫苗,017185,国泰疫苗与生物科技ETF联接A,国泰疫苗与生物科技ETF联接A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
101,液冷,159775,电池ETF建信,电池ETF建信,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
102,场内第一持仓,510300,沪深300ETF华泰柏瑞,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
103,数字货币,011399,汇添富数字未来混合A,汇添富数字未来混合A,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
104,秦安股份,562700,汽车零部件ETF华夏,汽车零部件ETF华夏,1.0,ok,,,是,是,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
105,哈三联,512170,医疗ETF华宝,医疗ETF华宝,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
106,粮食,158038,粮食ETF富国,粮食ETF富国,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
107,农牧,159275,农牧渔ETF华宝,农牧渔ETF华宝,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
108,矿泉水,515170,食品饮料ETF华夏,食品饮料ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
109,亚太精选,159687,亚太精选ETF南方,亚太精选ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
110,亚太,159687,亚太精选ETF南方,亚太精选ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
111,低估值,512890,红利低波ETF华泰柏瑞,红利低波ETF华泰柏瑞,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
112,沪深300,510300,沪深300ETF华泰柏瑞,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
113,大盘,510300,沪深300ETF华泰柏瑞,沪深300ETF华泰柏瑞,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
114,上证50,510050,上证50ETF,上证50ETF华夏,0.7778,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.778）,
115,中证500,510500,中证500ETF南方,中证500ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
116,创业板,159915,创业板ETF易方达,创业板ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
117,美债,511100,国债ETF华夏,国债ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
118,海力士,512760,芯片ETF国泰,芯片ETF国泰,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
119,硬件,512480,半导体ETF国联安,半导体ETF国联安,1.0,ok,是,,是,是,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
120,北美,513100,纳指ETF国泰,纳指ETF国泰,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
121,5G,159811,5GETF博时,5GETF博时,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
122,AI,159819,人工智能ETF易方达,人工智能ETF易方达,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
123,A股,515440,A股ETF南方,A股ETF南方,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
124,A股互联网,001210,天弘互联网混合A,天弘互联网混合A,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
125,中概,513050,中概互联网ETF易方达,中概互联网ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
126,中概互联,159605,中概互联ETF广发,中概互联ETF广发,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
127,中药,159647,中药ETF鹏华,中药ETF鹏华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
128,中证1000,159845,中证1000ETF华夏,中证1000ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
129,互联网,517200,互联网ETF嘉实,互联网ETF嘉实,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
130,人工智能,515070,人工智能ETF华夏,人工智能ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
131,传媒,159805,传媒ETF鹏华,传媒ETF鹏华,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
132,低波,563020,红利低波ETF易方达,红利低波ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
133,低空经济,159530,机器人ETF易方达,机器人ETF易方达,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
134,保险,512070,证券保险ETF易方达,证券保险ETF易方达,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
135,信创,562570,信创ETF华夏,信创ETF华夏,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
136,储能,159305,储能电池ETF广发,储能电池ETF广发,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
137,元宇宙,159786,VRETF银华,VRETF银华,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
138,光伏,159857,光伏ETF天弘,光伏ETF天弘,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
139,全球,513500,标普500ETF博时,标普500ETF博时,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
140,养殖,159865,养殖ETF国泰,养殖ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
141,军工,512680,军工ETF广发,军工ETF广发,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
142,创新药,159992,创新药ETF银华,创新药ETF银华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
143,券商,159842,券商ETF银华,券商ETF银华,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
144,区块链,159890,云计算ETF招商,云计算ETF招商,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
145,医疗,159877,医疗ETF南方,医疗ETF南方,1.0,ok,,,,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
146,医疗器械,159898,医疗器械ETF招商,医疗器械ETF招商,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
147,债券,512000,券商ETF华宝,券商ETF华宝,1.0,ok,,,是,是,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
