id,板块,代码,映射里的名字,基金域真名,相似度,结论,相关性存疑,可确定性纠正,原本已审查,老板锁定,理由,建议标的
51,6G,515050,5GETF,通信ETF华夏,0.3333,unknown,,,是,,证据不足以判定：与代码的基金域名「通信ETF华夏」相似度 0.333，低于阈值但没有反向证据,
52,中报业绩,002154,报 喜 鸟,华安安润灵活配置混合C,0.0,not_a_fund,,,,,「报 喜 鸟」在基金域查不到同名产品，检索到的是股票市场品种,
53,中报预增,510880,华泰柏瑞上证红利ETF,红利ETF华泰柏瑞,0.8182,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.818）,
54,制冷剂,000530,冰山冷热,招商丰盛稳定增长混合A,0.0,not_a_fund,,,,,「冰山冷热」在基金域查不到同名产品，检索到的是股票市场品种,
55,第一持仓板块,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
56,全市场,159338,国泰中证A500ETF,中证A500ETF国泰,1.0,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 1.000）,
57,华为概念,159565,华夏中证华为产业链 ETF,汽车零部件ETF易方达,0.1579,code_is_other_fund,,,,,代码 159565 实为「汽车零部件ETF易方达」，与板块「华为概念」无任何汉字关联,
58,韩国股市,513310,中韩半导体ETF（QDII）,中韩半导体ETF华泰柏瑞,0.5333,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.533）,
59,娜娜,513100,国泰纳斯达克 100ETF,纳指ETF国泰,0.5,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.500）,
60,应用,159819,华安中证信息技术应用创新产业指数发起式A,人工智能ETF易方达,0.0,code_is_other_fund,,,,,代码 159819 实为「人工智能ETF易方达」，与板块「应用」无任何汉字关联,021252 华安中证信息技术应用创新产业指数发起式A
61,中字头,512950,华夏中证央企结构调整 ETF,央企改革ETF华夏,0.4667,ok,,,是,,代码在基金域的品种名与映射名一致（Jaccard 0.467）,
